UPOS	POS	LEMMA
ADJ	прым.	@Местеревъ	
ADJ	прым.	@Местицкий	
ADJ	прым.	@Местовный	
ADJ	прым.	@Местский, мейский, мейсцкий, меский, месский, месткий, местцкий, местьский, местьцкий, месцкий	
ADJ	прым.	@Местцовый	
ADJ	прым.	@Месячий	
ADJ	прым.	@Месячная	
ADJ	прым.	@Месячный, месечный	
ADJ	прым.	@Метлевый	
ADJ	прым.	@Метный	
ADJ	прым.	@Меховницкий	
ADJ	прым.	@Мечницкий	
ADJ	прым.	@Мечный	
ADJ	прым.	@Мечовый, мечевый	
ADJ	прым.	@Мешинный	
ADJ	прым.	@Мешиновый	
ADJ	прым.	@Мешкальный, мешкалный	
ADJ	прым.	@Мещанский, месчанский, мешчаньский, мещаньский	
ADJ	прым.	@Мздяный	
ADJ	прым.	@Мидийский, медийский, мидыйский	
ADJ	прым.	@Мидоточивый	
ADJ	прым.	@Мизерный, мисерный	
ADJ	прым.	@Микгдаловый, мигдаловый, микдаловый	
ADJ	прым.	@Милая	
ADJ	прым.	@Милейший	
ADJ	прым.	@Милосердный, милосердый, милосерный	
ADJ	прым.	@Милоснейший	
ADJ	прым.	@Милостивный	
ADJ	прым.	@Милостивший	
ADJ	прым.	@Милостивый	
ADJ	прым.	@Милостный, милосный	
ADJ	прым.	@Милый, милы	
ADJ	прым.	@Мильший, милший	
ADJ	прым.	@Мимоходный	
ADJ	прым.	@Минщимный	
ADJ	прым.	@Мирный I	
ADJ	прым.	@Мирный II	
ADJ	прым.	@Мироточивый	
ADJ	прым.	@Мирровый	
ADJ	прым.	@Мирский	
ADJ	прым.	@Миртовый	
ADJ	прым.	@Мисный	
ADJ	прым.	@Мистерный	
ADJ	прым.	@Мистриковъ	
ADJ	прым.	@Мистровный	
ADJ	прым.	@Мистровский	
ADJ	прым.	@Мистровъ	
ADJ	прым.	@Митрополий, метрополий, митрополей, митрополый	
ADJ	прым.	@Митрополитанский, метрополитанский	
ADJ	прым.	@Митрополитинъ, метрополитинъ	
ADJ	прым.	@Митрополитовъ	
ADJ	прым.	@Митрополичий, метрополичий	
ADJ	прым.	@Митропольный	
ADJ	прым.	@Митропольский	
ADJ	прым.	@Митрполитский, метрополитский	
ADJ	прым.	@Миханический	
ADJ	прым.	@Мкглый	
ADJ	прым.	@Младенский	
ADJ	прым.	@Младенческий	
ADJ	прым.	@Младопомазанный	
ADJ	прым.	@Младший	
ADJ	прым.	@Младый	
ADJ	прым.	@Млейший	
ADJ	прым.	@Млелый	
ADJ	прым.	@Млечный	
ADJ	прым.	@Млоденкий	
ADJ	прым.	@Млоденцевъ	
ADJ	прым.	@Млоденческий	
ADJ	прым.	@Млодый	
ADJ	прым.	@Млый	
ADJ	прым.	@Млынаровъ	
ADJ	прым.	@Млынарский, млинарский	
ADJ	прым.	@Млынный	
ADJ	прым.	@Млыновый, млиновый	
ADJ	прым.	@Млынский	
ADJ	прым.	@Млялый	
ADJ	прым.	@Мнейший, мнейшый	
ADJ	прым.	@Мнимый	
ADJ	прым.	@Мниховский	
ADJ	прым.	@Мниховъ	
ADJ	прым.	@Мнишеский	
ADJ	прым.	@Мнишский, мниский, мнисский	
ADJ	прым.	@Многий	
ADJ	прым.	@Многоболезненый	
ADJ	прым.	@Многогрешный	
ADJ	прым.	@Многозацный	
ADJ	прым.	@Многоквитнучий	
ADJ	прым.	@Многоклопотливый	
ADJ	прым.	@Многокормящий	
ADJ	прым.	@Многокроткий	
ADJ	прым.	@Многокротный	
ADJ	прым.	@Многолетний, многолетный	
ADJ	прым.	@Многолюдный	
ADJ	прым.	@Многомилосердный, многомилосердый	
ADJ	прым.	@Многомилостивый	
ADJ	прым.	@Многомовный	
ADJ	прым.	@Многоможный	
ADJ	прым.	@Многомясный	
ADJ	прым.	@Многонародный	
ADJ	прым.	@Многообидливый	
ADJ	прым.	@Многоочытый	
ADJ	прым.	@Многопетый	
ADJ	прым.	@Многоплеменитый	
ADJ	прым.	@Многоплодный	
ADJ	прым.	@Многоразумный	
ADJ	прым.	@Многословный	
ADJ	прым.	@Многослынущий	
ADJ	прым.	@Многосонливый	
ADJ	прым.	@Многострадалный	
ADJ	прым.	@Многострадателный	
ADJ	прым.	@Многотерпеливый	
ADJ	прым.	@Многохвалный	
ADJ	прым.	@Многохтивый	
ADJ	прым.	@Многоценный, многоцэнный	
ADJ	прым.	@Многший	
ADJ	прым.	@Множайший	
ADJ	прым.	@Моавитский, моавицкий	
ADJ	прым.	@Моавль	
ADJ	прым.	@Моавовъ	
ADJ	прым.	@Моавский, маавский	
ADJ	прым.	@Мовный	
ADJ	прым.	@Могилевский	
ADJ	прым.	@Могучий II	
ADJ	прым.	@Модрый	
ADJ	прым.	@Можжеловый	
ADJ	прым.	@Можнейший	
ADJ	прым.	@Можный	
ADJ	прым.	@Мозговый	
ADJ	прым.	@Мозсяный	
ADJ	прым.	@Мокрый, мокрий	
ADJ	прым.	@Молвный	
ADJ	прым.	@Молдавский	
ADJ	прым.	@Молебный	
ADJ	прым.	@Молевъ	
ADJ	прым.	@Молитвенный, молитвеный, молитвный	
ADJ	прым.	@Молитовный	
ADJ	прым.	@Моллинъ	
ADJ	прым.	@Молносветлый	
ADJ	прым.	@Молньиный	
ADJ	прым.	@Молоденький	
ADJ	прым.	@Молодецкий	
ADJ	прым.	@Молодостный	
ADJ	прым.	@Молодцовый	
ADJ	прым.	@Молодчяный	
ADJ	прым.	@Молодшый, молодший	
ADJ	прым.	@Молодый	
ADJ	прым.	@Молодюсенький, молодесенький	
ADJ	прым.	@Молодюхный	
ADJ	прым.	@Моложавый	
ADJ	прым.	@Молотенный	
ADJ	прым.	@Молочный I	
ADJ	прым.	@Молчаливый	
ADJ	прым.	@Молчанливый, молчаньливый	
ADJ	прым.	@Момотливый	
ADJ	прым.	@Монастыревъ	
ADJ	прым.	@Монастырный	
ADJ	прым.	@Монастырский, манастырский, маностырский, монастирский	
ADJ	прым.	@Мониторный	
ADJ	прым.	@Монотолицкий, моноталицкий	
ADJ	прым.	@Моралный	
ADJ	прым.	@Моргослепый	
ADJ	прым.	@Мордерский, мардерский	
ADJ	прым.	@Моркговый	
ADJ	прым.	@Морковный	
ADJ	прым.	@Моровый	
ADJ	прым.	@Морозливый	
ADJ	прым.	@Морозный	
ADJ	прым.	@Морозоватый	
ADJ	прым.	@Морочный	
ADJ	прым.	@Морский, морьский	
ADJ	прым.	@Мосендзовый, мосенцовый, мосядзовый, мосядовый, мосяжовый, мосязовый, мосяндзовый	
ADJ	прым.	@Мосенжный	
ADJ	прым.	@Москевский	
ADJ	прым.	@Московский	
ADJ	прым.	@Мостовый	
ADJ	прым.	@Мотылный	
ADJ	прым.	@Мохнатый	
ADJ	прым.	@Мохольский	
ADJ	прым.	@Моцарский	
ADJ	прым.	@Моцарявъ	
ADJ	прым.	@Моцнейший	
ADJ	прым.	@Моцный	
ADJ	прым.	@Мочавый	
ADJ	прым.	@Мочливый	
ADJ	прым.	@Мочный	
ADJ	прым.	@Мошкетовый	
ADJ	прым.	@Мощный	
ADJ	прым.	@Мраморовый, мрамуровый	
ADJ	прым.	@Мрачный	
ADJ	прым.	@Мскусовый	
ADJ	прым.	@Мстительный	
ADJ	прым.	@Мудрейший	
ADJ	прым.	@Мудреный	
ADJ	прым.	@Мудросердый	
ADJ	прым.	@Мудростный	
ADJ	прым.	@Мудрший	
ADJ	прым.	@Мудрый, мудрий	
ADJ	прым.	@Мужатая	
ADJ	прым.	@Мужевъ, мужовъ	
ADJ	прым.	@Мужепобедителный	
ADJ	прым.	@Мужеский	
ADJ	прым.	@Мужественный	
ADJ	прым.	@Мужий	
ADJ	прым.	@Мужиковъ	
ADJ	прым.	@Мужицкий, мужыцкий	
ADJ	прым.	@Мужнейший	
ADJ	прым.	@Мужний	
ADJ	прым.	@Мужный	
ADJ	прым.	@Мужобойский	
ADJ	прым.	@Мужский, музкий, музский, музький, муский, мусский	
ADJ	прым.	@Мужчизный, музчизный, мущизный	
ADJ	прым.	@Мужычкий	
ADJ	прым.	@Музыкий	
ADJ	прым.	@Музыцкий, музицкий	
ADJ	прым.	@Мулистый	
ADJ	прым.	@Мултанский, мултянский, мультанский	
ADJ	прым.	@Мулярский, муральский	
ADJ	прым.	@Муниментовый	
ADJ	прым.	@Муравский	
ADJ	прым.	@Муринский	
ADJ	прым.	@Муробитный	
ADJ	прым.	@Мурованый, мурованный	
ADJ	прым.	@Муровый	
ADJ	прым.	@Мурожный, мурозный	
ADJ	прым.	@Мурьский	
ADJ	прым.	@Мусикейский	
ADJ	прым.	@Мусовый	
ADJ	прым.	@Мусульманский	
ADJ	прым.	@Мутный	
ADJ	прым.	@Мухояровый, мохояровый, мухаеровый	
ADJ	прым.	@Муцрицкий	
ADJ	прым.	@Мученицкий	
ADJ	прым.	@Мученический	
ADJ	прым.	@Мучителевъ	
ADJ	прым.	@Мучительский	
ADJ	прым.	@Мучный	
ADJ	прым.	@Мушинский, мишинский, мушынский, мышинский, мышынский	
ADJ	прым.	@Мушкатовый, мускатовый, мушкетовый II	
ADJ	прым.	@Мушкетовый I	
ADJ	прым.	@Мшариный	
ADJ	прым.	@Мшеновый	
ADJ	прым.	@Мылный	
ADJ	прым.	@Мындзарский	
ADJ	прым.	@Мыничный, минечный	
ADJ	прым.	@Мысленый, мысленный, мыслный, мысльный	
ADJ	прым.	@Мысливый	
ADJ	прым.	@Мытвицкий	
ADJ	прым.	@Мытельный	
ADJ	прым.	@Мытниковъ, митниковъ	
ADJ	прым.	@Мытницкий	
ADJ	прым.	@Мытный	
ADJ	прым.	@Мышастый, мушастый	
ADJ	прым.	@Мышатый	
ADJ	прым.	@Мягкий, мяккий, мяхкий	
ADJ	прым.	@Мягкосердый, мяккосердый	
ADJ	прым.	@Мякчайший	
ADJ	прым.	@Мякчейший, мекчейшый	
ADJ	прым.	@Мякший	
ADJ	прым.	@Мяртвый	
ADJ	прым.	@Мясистый	
ADJ	прым.	@Мясницкий	
ADJ	прым.	@Мясный, месный, мястный	
ADJ	прым.	@Мясоедный	
ADJ	прым.	@Мясопустный, месопустный, мясопусный	
ADJ	прым.	@Мятежный	
ADJ	прым.	@Мятый	
ADJ	прым.	@Нааматийский	
ADJ	прым.	@Набеглейший	
ADJ	прым.	@Набезпечнейший	
ADJ	прым.	@Наблизний	
ADJ	прым.	@Наблизший, наближший, наближшый, наблизшый	
ADJ	прым.	@Набогатший	
ADJ	прым.	@Набожнейший, набожнейшый	
ADJ	прым.	@Набожный	
ADJ	прым.	@Набольший, наболший, наболшый, набольшый	
ADJ	прым.	@Набортчый	
ADJ	прым.	@Набрыдшый	
ADJ	прым.	@Набыстрейшій	
ADJ	прым.	@Наважнейшый	
ADJ	прым.	@Навалный, навальный	
ADJ	прым.	@Навдячнейший, навдячнейшый	
ADJ	прым.	@Навелебнейший	
ADJ	прым.	@Навеликий	
ADJ	прым.	@Навелможнейший	
ADJ	прым.	@Навернейший, навернейшый	
ADJ	прым.	@Наверутнейший	
ADJ	прым.	@Наверхний	
ADJ	прым.	@Навеселейший	
ADJ	прым.	@Навеселший	
ADJ	прым.	@Навзгарднейший	
ADJ	прым.	@Навный	
ADJ	прым.	@Навозный	
ADJ	прым.	@Навозовый	
ADJ	прым.	@Навотный	
ADJ	прым.	@Навпоминальный	
ADJ	прым.	@Навыборнейший	
ADJ	прым.	@Навыжший	
ADJ	прым.	@Навызший	
ADJ	прым.	@Навыклый	
ADJ	прым.	@Навымовнейший	
ADJ	прым.	@Навысший, навысшый, навышший, навышшый	
ADJ	прым.	@Навышний	
ADJ	прым.	@Нагайский	
ADJ	прым.	@Нагий	
ADJ	прым.	@Наглейший	
ADJ	прым.	@Наглый	
ADJ	прым.	@Нагоднейший	
ADJ	прым.	@Нагойнейший	
ADJ	прым.	@Наголовнейший	
ADJ	прым.	@Нагорший, нагоршый	
ADJ	прым.	@Нагорятший	
ADJ	прым.	@Нагорячший, нагорячшый	
ADJ	прым.	@Нагрешнейший, нагрешнейшый	
ADJ	прым.	@Нагробный	
ADJ	прым.	@Нагрунтовнейший	
ADJ	прым.	@Надалший	
ADJ	прым.	@Надаремный	
ADJ	прым.	@Надвниманый	
ADJ	прым.	@Надворный	
ADJ	прым.	@Надгнилый	
ADJ	прым.	@Надгробный	
ADJ	прым.	@Надежденъ	
ADJ	прым.	@Надежный	
ADJ	прым.	@Надзвычайный	
ADJ	прым.	@Надзный	
ADJ	прым.	@Надивнейший	
ADJ	прым.	@Надистотный	
ADJ	прым.	@Надобнейший	
ADJ	прым.	@Надобный	
ADJ	прым.	@Надокладнейший	
ADJ	прым.	@Надолжейший	
ADJ	прым.	@Надолжший, надолший	
ADJ	прым.	@Надольный	
ADJ	прым.	@Надорожный	
ADJ	прым.	@Надорожший	
ADJ	прым.	@Надосконалший	
ADJ	прым.	@Надотлелый	
ADJ	прым.	@Надпечный	
ADJ	прым.	@Надпотребный	
ADJ	прым.	@Надприрожоный	
ADJ	прым.	@Надражший	
ADJ	прым.	@Надслабелый	
ADJ	прым.	@Надтвержий	
ADJ	прым.	@Надходный	
ADJ	прым.	@Надцный	
ADJ	прым.	@Надшопетливый	
ADJ	прым.	@Наездный	
ADJ	прым.	@Наемниковъ	
ADJ	прым.	@Наемничий	
ADJ	прым.	@Наемный	
ADJ	прым.	@Наеснейший	
ADJ	прым.	@Нажалоснейший	
ADJ	прым.	@Назарейский	
ADJ	прым.	@Назаренский, назарянский	
ADJ	прым.	@Назаслуженший	
ADJ	прым.	@Назацнейший, назацнейшый	
ADJ	прым.	@Назвирхнейший	
ADJ	прым.	@Наземный	
ADJ	прым.	@Назлосливший	
ADJ	прым.	@Назнаменитший	
ADJ	прым.	@Назначнейший	
ADJ	прым.	@Назуполнейший	
ADJ	прым.	@Найбезпечнейший, найбеспечнейший	
ADJ	прым.	@Найблизший, найближший, найблишший	
ADJ	прым.	@Найбогатший	
ADJ	прым.	@Найболшее	
ADJ	прым.	@Найбольший, найболший, найболшый, найбольшый	
ADJ	прым.	@Найбрыдшый	
ADJ	прым.	@Найбурливший	
ADJ	прым.	@Найбытнейший	
ADJ	прым.	@Найважнейший	
ADJ	прым.	@Найвалечнейший	
ADJ	прым.	@Найвдячнейший	
ADJ	прым.	@Найвелебнейший	
ADJ	прым.	@Найвенкший	
ADJ	прым.	@Найвернейший, найвернейшый	
ADJ	прым.	@Найверутнейший	
ADJ	прым.	@Найветший	
ADJ	прым.	@Найвихроватший	
ADJ	прым.	@Найвласнейший	
ADJ	прым.	@Найвыборнейший, найвыборнейшый	
ADJ	прым.	@Найвышний	
ADJ	прым.	@Найвышший, найвишший, найвыжший, найвыжшый, найвызший, найвысший, найвысшый (тлустым), найвыший, найвышшый, найвышый	
ADJ	прым.	@Найглубший, найглубшый, найглыбший	
ADJ	прым.	@Найголовнейший	
ADJ	прым.	@Найгорший, найгоршый	
ADJ	прым.	@Найгорячший, найгорачший, найгорячшый	
ADJ	прым.	@Найгосподственнейший	
ADJ	прым.	@Найгрешнейший	
ADJ	прым.	@Найгущый	
ADJ	прым.	@Найдавнейший	
ADJ	прым.	@Найдалший	
ADJ	прым.	@Найдивнейший	
ADJ	прым.	@Найдокладнейший	
ADJ	прым.	@Найдолжший	
ADJ	прым.	@Найдорожший, найдорогший, найдорозший	
ADJ	прым.	@Найдосконалший, найдосконалшый	
ADJ	прым.	@Найдостойнейший	
ADJ	прым.	@Найдражший	
ADJ	прым.	@Найдробнейший	
ADJ	прым.	@Найдужший	
ADJ	прым.	@Найжалоснейший	
ADJ	прым.	@Найзацнейший, найзацнейшый	
ADJ	прым.	@Найзелживший, найзелжывший	
ADJ	прым.	@Найзлосливший	
ADJ	прым.	@Найзлоснейший	
ADJ	прым.	@Найзнаменитший	
ADJ	прым.	@Найзначнейший	
ADJ	прым.	@Найзуполнейшый	
ADJ	прым.	@Найкгрунтовнейший	
ADJ	прым.	@Найклопотнейший	
ADJ	прым.	@Найкоротший	
ADJ	прым.	@Найкоштовнейший	
ADJ	прым.	@Найкраснейший	
ADJ	прым.	@Найкрашший	
ADJ	прым.	@Найкрикливший	
ADJ	прым.	@Найласкавший, найласкавшый	
ADJ	прым.	@Найлацнейший	
ADJ	прым.	@Найлепший, найлепшый	
ADJ	прым.	@Найлучнейший	
ADJ	прым.	@Найлучший	
ADJ	прым.	@Найменший, найменьший	
ADJ	прым.	@Наймизернейший	
ADJ	прым.	@Наймилейший	
ADJ	прым.	@Наймилостивший	
ADJ	прым.	@Наймилший, наймилшый, наймильший	
ADJ	прым.	@Наймитовъ	
ADJ	прым.	@Наймичий	
ADJ	прым.	@Наймладший	
ADJ	прым.	@Наймнейший	
ADJ	прым.	@Найможнейший	
ADJ	прым.	@Наймолодший	
ADJ	прым.	@Наймоцнейший, наймоцнейшый	
ADJ	прым.	@Наймудрейший, наймудрейшый	
ADJ	прым.	@Наймужнейший	
ADJ	прым.	@Найналепший	
ADJ	прым.	@Найнебезпечнейший	
ADJ	прым.	@Найневиннейший	
ADJ	прым.	@Найнегоднейший	
ADJ	прым.	@Найнесчасливший, найнещасливший	
ADJ	прым.	@Найнизший, найнижший	
ADJ	прым.	@Найнужднейший, найнужнеший	
ADJ	прым.	@Найоброннейший	
ADJ	прым.	@Найобфитший	
ADJ	прым.	@Найоздобнейший	
ADJ	прым.	@Найоквитший	
ADJ	прым.	@Найокрутнейший	
ADJ	прым.	@Найпевнейший, найпевнейшый, найпэвнейшый	
ADJ	прым.	@Найпенкнейший	
ADJ	прым.	@Найпервейший	
ADJ	прым.	@Найпервший	
ADJ	прым.	@Найпервый	
ADJ	прым.	@Найпереднейший, найпереднейшый	
ADJ	прым.	@Найперший, найпершый	
ADJ	прым.	@Найпилнейший	
ADJ	прым.	@Найподлейший	
ADJ	прым.	@Найподобнейший, найподобнейшый	
ADJ	прым.	@Найпожадлившый	
ADJ	прым.	@Найпожитечнейший	
ADJ	прым.	@Найпокорнейший, найпокорнейшый	
ADJ	прым.	@Найпоследнейший	
ADJ	прым.	@Найпослушнейший	
ADJ	прым.	@Найпотешнейший	
ADJ	прым.	@Найпотребнейший	
ADJ	прым.	@Найпотужнейший, найпотужнейшый	
ADJ	прым.	@Найпотужный	
ADJ	прым.	@Найправший	
ADJ	прым.	@Найпреднейший	
ADJ	прым.	@Найприемнейший	
ADJ	прым.	@Найприкрейший, найприкрийший	
ADJ	прым.	@Найпростейший	
ADJ	прым.	@Найпрудший, найпружший, найпрутший	
ADJ	прым.	@Найроскошнейший	
ADJ	прым.	@Найсвентший	
ADJ	прым.	@Найсветлейший	
ADJ	прым.	@Найсвятейший, найсветейший	
ADJ	прым.	@Найсвятоблившый	
ADJ	прым.	@Найсвятший, найсветший	
ADJ	прым.	@Найсильнейший, найсилнейший	
ADJ	прым.	@Найскрытший	
ADJ	прым.	@Найскутечнейший, найскуточнейший	
ADJ	прым.	@Найслабший	
ADJ	прым.	@Найславнейший	
ADJ	прым.	@Найсличнейший	
ADJ	прым.	@Найслодший	
ADJ	прым.	@Найслушнейший	
ADJ	прым.	@Найсмирнейший	
ADJ	прым.	@Найсмутнейший	
ADJ	прым.	@Найснаднейший	
ADJ	прым.	@Найсолодший, найсолодшый	
ADJ	прым.	@Найспокойнейший	
ADJ	прым.	@Найспособнейший	
ADJ	прым.	@Найсправедливший	
ADJ	прым.	@Найспроснейший, найспроснейшый	
ADJ	прым.	@Найсрожший, найсрозший	
ADJ	прым.	@Найсромотнейший	
ADJ	прым.	@Найстарший	
ADJ	прым.	@Найстатечнейший	
ADJ	прым.	@Найстислейший	
ADJ	прым.	@Найсуптелнейший, найсуптелнейшый	
ADJ	прым.	@Найтвердейший	
ADJ	прым.	@Найтвердший	
ADJ	прым.	@Найтемнейший	
ADJ	прым.	@Найтеснейший	
ADJ	прым.	@Найтихший	
ADJ	прым.	@Найтишший	
ADJ	прым.	@Найтлустший	
ADJ	прым.	@Найтрафнейший	
ADJ	прым.	@Найтяжший	
ADJ	прым.	@Найубожший	
ADJ	прым.	@Найукоханший	
ADJ	прым.	@Найутешнейший	
ADJ	прым.	@Найученший	
ADJ	прым.	@Найхандожший	
ADJ	прым.	@Найхвалебнейший	
ADJ	прым.	@Найхитрейший, найхитрийший	
ADJ	прым.	@Найхитршый	
ADJ	прым.	@Найхорошший	
ADJ	прым.	@Найхудший	
ADJ	прым.	@Найхужший	
ADJ	прым.	@Найцуднейший	
ADJ	прым.	@Найчистейший	
ADJ	прым.	@Найчистший, найчыстший, найчыстшый	
ADJ	прым.	@Найшпетнейший	
ADJ	прым.	@Найщасливший	
ADJ	прым.	@Найяснейший	
ADJ	прым.	@Накадный	
ADJ	прым.	@Накгвалтовнейший	
ADJ	прым.	@Накгрунтовнейший	
ADJ	прым.	@Накладный I	
ADJ	прым.	@Накладный II	
ADJ	прым.	@Накляпый	
ADJ	прым.	@Накоротший, накоротшы, накоротшый	
ADJ	прым.	@Накоштовнейший	
ADJ	прым.	@Накрапленый	
ADJ	прым.	@Накрапяный	
ADJ	прым.	@Накрашший	
ADJ	прым.	@Накрепчейший	
ADJ	прым.	@Накшталтовнейший	
ADJ	прым.	@Наласкавший	
ADJ	прым.	@Належитый, належытый	
ADJ	прым.	@Належнейший	
ADJ	прым.	@Належный	
ADJ	прым.	@Налепшейший	
ADJ	прым.	@Налепший I, налепшый	
ADJ	прым.	@Наменжнейший	
ADJ	прым.	@Наменный	
ADJ	прым.	@Наменший, наменшый, наменьшый	
ADJ	прым.	@Наместниковъ, намесниковъ	
ADJ	прым.	@Наместничий, намесничый, наместничый	
ADJ	прым.	@Наместный	
ADJ	прым.	@Наметный	
ADJ	прым.	@Наметовый	
ADJ	прым.	@Намизернейший	
ADJ	прым.	@Намилейший, намилейшый, намилеший	
ADJ	прым.	@Намилостивший, намилостившый	
ADJ	прым.	@Намилший, намилшый, намильший	
ADJ	прым.	@Намнейший, намнейшый	
ADJ	прым.	@Намовный	
ADJ	прым.	@Наможнейший, наможнейшый	
ADJ	прым.	@Намолодший, намолодшый	
ADJ	прым.	@Намоцнейший, намоцнейшый	
ADJ	прым.	@Намудрейший, намудрейшый	
ADJ	прым.	@Намудрший	
ADJ	прым.	@Намужнейший, намужнейшый	
ADJ	прым.	@Намякший	
ADJ	прым.	@Наневиннейший	
ADJ	прым.	@Наневстыдливший	
ADJ	прым.	@Нанегоднейшый	
ADJ	прым.	@Нанедостойнейший	
ADJ	прым.	@Нанендзнейший, нанендзнейшый	
ADJ	прым.	@Нанесправедливший	
ADJ	прым.	@Нанецнотливший	
ADJ	прым.	@Нанещасливший	
ADJ	прым.	@Нанизший, нанижший, нанижшый	
ADJ	прым.	@Наоздобнейший	
ADJ	прым.	@Наокрутнейший, наокрутнейшый	
ADJ	прым.	@Наособливший	
ADJ	прым.	@Напастный	
ADJ	прым.	@Напевнейший, напевнейшый	
ADJ	прым.	@Напекнейший	
ADJ	прым.	@Напенкнейший	
ADJ	прым.	@Напервший	
ADJ	прым.	@Напервый	
ADJ	прым.	@Напереднейший	
ADJ	прым.	@Наперший	
ADJ	прым.	@Напилнейший	
ADJ	прым.	@Наплохший, наплошшый	
ADJ	прым.	@Напляцовый, наплацовый	
ADJ	прым.	@Напобожнейший	
ADJ	прым.	@Наповажнейший	
ADJ	прым.	@Наподлейший	
ADJ	прым.	@Наподобнейшый	
ADJ	прым.	@Напоевый	
ADJ	прым.	@Напожытечнейший	
ADJ	прым.	@Напойный	
ADJ	прым.	@Наполбелый	
ADJ	прым.	@Наполживый	
ADJ	прым.	@Наполмертвый	
ADJ	прым.	@Наполнейший	
ADJ	прым.	@Наполыгорачый	
ADJ	прым.	@Наполыживый	
ADJ	прым.	@Наполызмарлый	
ADJ	прым.	@Наполымертвый	
ADJ	прым.	@Наполынагий	
ADJ	прым.	@Напоминальный, напоминалный	
ADJ	прым.	@Напоследнейший	
ADJ	прым.	@Напоследний	
ADJ	прым.	@Напотешнейший	
ADJ	прым.	@Напотомный	
ADJ	прым.	@Напотребнейший, напотребнейшый	
ADJ	прым.	@Напотужнейший, напотужнейшый	
ADJ	прым.	@Напочтивший	
ADJ	прым.	@Направдивший	
ADJ	прым.	@Направнейший, направнейшый	
ADJ	прым.	@Напраснивый	
ADJ	прым.	@Напрасный	
ADJ	прым.	@Напреднейший, напреднейшый	
ADJ	прым.	@Напреподобнейший	
ADJ	прым.	@Напрестольный	
ADJ	прым.	@Наприемнейший, наприемнейшый, наприемниший	
ADJ	прым.	@Наприкрейший	
ADJ	прым.	@Наприкрший, наприкший	
ADJ	прым.	@Напроразливейший	
ADJ	прым.	@Напростейшый	
ADJ	прым.	@Напросторший	
ADJ	прым.	@Напростший, напростшый	
ADJ	прым.	@Напротивный	
ADJ	прым.	@Напрощший	
ADJ	прым.	@Напухлый	
ADJ	прым.	@Напыщеный	
ADJ	прым.	@Нарадный, нарядный	
ADJ	прым.	@Наразумнейший	
ADJ	прым.	@Нардовый	
ADJ	прым.	@Наровнейший	
ADJ	прым.	@Народовъ	
ADJ	прым.	@Народовый	
ADJ	прым.	@Нарожный	
ADJ	прым.	@Нароскошнейший	
ADJ	прым.	@Нарочатый	
ADJ	прым.	@Нарочитый, нарочытый	
ADJ	прым.	@Нарочный	
ADJ	прым.	@Насвентший	
ADJ	прым.	@Насветлейший	
ADJ	прым.	@Насвятейший, насветейший	
ADJ	прым.	@Насвятоблившый	
ADJ	прым.	@Насвятший, насветший	
ADJ	прым.	@Наседший	
ADJ	прым.	@Насиливый	
ADJ	прым.	@Насилниковъ	
ADJ	прым.	@Насилный	
ADJ	прым.	@Насильнейшый, насилнейший	
ADJ	прым.	@Наскрытший	
ADJ	прым.	@Наславнейший, наславнейшый	
ADJ	прым.	@Насласнейший	
ADJ	прым.	@Насличнейший	
ADJ	прым.	@Наслождший	
ADJ	прым.	@Наслютейший	
ADJ	прым.	@Насмутнейший	
ADJ	прым.	@Наснаднейший	
ADJ	прым.	@Насолодший	
ADJ	прым.	@Насолонший	
ADJ	прым.	@Насоромотнейший	
ADJ	прым.	@Наспокойнейший	
ADJ	прым.	@Насправедливший, насправедлившый	
ADJ	прым.	@Наспроснейший, наспроснейшый	
ADJ	прым.	@Насрожший, насрождший	
ADJ	прым.	@Наставный	
ADJ	прым.	@Настародавнейший	
ADJ	прым.	@Настарший, настаршый	
ADJ	прым.	@Настатечнейший, настатечнейшый	
ADJ	прым.	@Настолный	
ADJ	прым.	@Настолший	
ADJ	прым.	@Настоятельный	
ADJ	прым.	@Настрадамский	
ADJ	прым.	@Настрашливший	
ADJ	прым.	@Настрашливый	
ADJ	прым.	@Настрашнейший	
ADJ	прым.	@Насущный	
ADJ	прым.	@Натвердейший	
ADJ	прым.	@Натвердшый, натвержший	
ADJ	прым.	@Натеклый	
ADJ	прым.	@Натемнейший	
ADJ	прым.	@Натихший	
ADJ	прым.	@Натишший	
ADJ	прым.	@Натруднейший	
ADJ	прым.	@Натужший	
ADJ	прым.	@Натуральный, натуралный	
ADJ	прым.	@Натхненый	
ADJ	прым.	@Натяжший	
ADJ	прым.	@Наубогший	
ADJ	прым.	@Наубожший, навбожшый, наубожшый, наубозший, наубозшый	
ADJ	прым.	@Наужший	
ADJ	прым.	@Наузловатший	
ADJ	прым.	@Наумеетнейший	
ADJ	прым.	@Наупоминальный	
ADJ	прым.	@Наученший, наученшый, научоншый	
ADJ	прым.	@Научливший	
ADJ	прым.	@Научный	
ADJ	прым.	@Научтившый	
ADJ	прым.	@Нахвалебнейший, нафалебнейший	
ADJ	прым.	@Нахилый	
ADJ	прым.	@Нахитрейший	
ADJ	прым.	@Нахондожший	
ADJ	прым.	@Нахорший	
ADJ	прым.	@Нацвиченейший	
ADJ	прым.	@Нацнотлившый	
ADJ	прым.	@Нацуднейший	
ADJ	прым.	@Началестный	
ADJ	прым.	@Началнейший	
